2020-08-04 07:54:07,049 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="248bb0b16c5f68ab2c49e1b4822fce03")>
2020-08-04 12:16:40,184 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='信息管理']") 元素执行点击操作！
2020-08-04 12:16:40,185 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='信息管理']")
2020-08-04 12:16:42,269 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='内容审核']") 元素执行点击操作！
2020-08-04 12:16:42,269 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='内容审核']")
2020-08-04 12:16:44,435 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入: 文章名称']")
2020-08-04 12:16:44,457 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入: 文章名称']") 元素执行清空操作！
2020-08-04 12:16:44,499 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入: 文章名称']") 元素执行输入:test002 操作！
2020-08-04 12:16:46,614 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入: 频道']")
2020-08-04 12:16:46,656 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入: 频道']") 元素执行清空操作！
2020-08-04 12:16:46,709 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入: 频道']") 元素执行输入:数据库 操作！
2020-08-04 12:16:48,778 INFO [base.py(base_click:55)] - 正在对：('css selector', '[placeholder=请选择状态]') 元素执行点击操作！
2020-08-04 12:16:48,779 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '[placeholder=请选择状态]')
2020-08-04 12:16:50,925 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='待审核']") 元素执行点击操作！
2020-08-04 12:16:50,926 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='待审核']")
2020-08-04 12:16:53,058 INFO [base.py(base_click:55)] - 正在对：('css selector', '.find') 元素执行点击操作！
2020-08-04 12:16:53,059 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.find')
2020-08-04 12:16:55,158 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 12:16:55,231 INFO [base.py(base_get_text:65)] - 正在对：('css selector', '.cell>span') 元素获取文本操作！，获取的文本值：1289879348202962944
2020-08-04 12:16:55,231 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 16:50:23,518 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="68be495f325b44601d4c1ba485bbd9c2")>
2020-08-04 16:50:23,519 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[name='username']")
2020-08-04 16:50:23,534 INFO [base.py(base_input:42)] - 正在对：('css selector', "[name='username']") 元素执行清空操作！
2020-08-04 16:50:23,573 INFO [base.py(base_input:45)] - 正在对：('css selector', "[name='username']") 元素执行输入:testid 操作！
2020-08-04 16:50:25,650 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[name='password']")
2020-08-04 16:50:25,692 INFO [base.py(base_input:42)] - 正在对：('css selector', "[name='password']") 元素执行清空操作！
2020-08-04 16:50:25,739 INFO [base.py(base_input:45)] - 正在对：('css selector', "[name='password']") 元素执行输入:testpwd123 操作！
2020-08-04 16:50:27,854 INFO [base.py(base_click:55)] - 正在对：('css selector', '#inp1') 元素执行点击操作！
2020-08-04 16:50:27,855 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '#inp1')
2020-08-04 16:50:29,964 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="68be495f325b44601d4c1ba485bbd9c2")>
2020-08-04 16:50:29,973 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='信息管理']") 元素执行点击操作！
2020-08-04 16:50:29,975 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='信息管理']")
2020-08-04 16:50:32,112 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='内容审核']") 元素执行点击操作！
2020-08-04 16:50:32,113 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='内容审核']")
2020-08-04 16:50:34,307 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入: 文章名称']")
2020-08-04 16:50:34,351 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入: 文章名称']") 元素执行清空操作！
2020-08-04 16:50:34,399 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入: 文章名称']") 元素执行输入:test002 操作！
2020-08-04 16:50:36,523 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入: 频道']")
2020-08-04 16:50:36,556 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入: 频道']") 元素执行清空操作！
2020-08-04 16:50:36,602 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入: 频道']") 元素执行输入:数据库 操作！
2020-08-04 16:50:38,679 INFO [base.py(base_click:55)] - 正在对：('css selector', '[placeholder=请选择状态]') 元素执行点击操作！
2020-08-04 16:50:38,680 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '[placeholder=请选择状态]')
2020-08-04 16:50:40,795 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='待审核']") 元素执行点击操作！
2020-08-04 16:50:40,796 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='待审核']")
2020-08-04 16:50:42,908 INFO [base.py(base_click:55)] - 正在对：('css selector', '.find') 元素执行点击操作！
2020-08-04 16:50:42,909 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.find')
2020-08-04 16:50:45,011 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 16:50:45,083 INFO [base.py(base_get_text:65)] - 正在对：('css selector', '.cell>span') 元素获取文本操作！，获取的文本值：1289879348202962944
2020-08-04 16:50:45,083 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 16:50:45,108 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 16:50:45,125 INFO [base.py(base_get_text:65)] - 正在对：('css selector', '.cell>span') 元素获取文本操作！，获取的文本值：1289879348202962944
2020-08-04 16:50:45,126 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 16:51:14,158 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="bf4e695e9dab73fef5b132d861c1b47d")>
2020-08-04 16:51:14,158 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[name='username']")
2020-08-04 16:51:14,176 INFO [base.py(base_input:42)] - 正在对：('css selector', "[name='username']") 元素执行清空操作！
2020-08-04 16:51:14,214 INFO [base.py(base_input:45)] - 正在对：('css selector', "[name='username']") 元素执行输入:testid 操作！
2020-08-04 16:51:16,294 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[name='password']")
2020-08-04 16:51:16,329 INFO [base.py(base_input:42)] - 正在对：('css selector', "[name='password']") 元素执行清空操作！
2020-08-04 16:51:16,373 INFO [base.py(base_input:45)] - 正在对：('css selector', "[name='password']") 元素执行输入:testpwd123 操作！
2020-08-04 16:51:18,467 INFO [base.py(base_click:55)] - 正在对：('css selector', '#inp1') 元素执行点击操作！
2020-08-04 16:51:18,467 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '#inp1')
2020-08-04 16:51:20,543 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="bf4e695e9dab73fef5b132d861c1b47d")>
2020-08-04 16:51:20,544 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='信息管理']") 元素执行点击操作！
2020-08-04 16:51:20,545 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='信息管理']")
2020-08-04 16:51:22,641 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='内容审核']") 元素执行点击操作！
2020-08-04 16:51:22,642 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='内容审核']")
2020-08-04 16:51:24,842 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入: 文章名称']")
2020-08-04 16:51:24,881 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入: 文章名称']") 元素执行清空操作！
2020-08-04 16:51:24,927 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入: 文章名称']") 元素执行输入:test002 操作！
2020-08-04 16:51:27,043 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入: 频道']")
2020-08-04 16:51:27,091 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入: 频道']") 元素执行清空操作！
2020-08-04 16:51:27,143 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入: 频道']") 元素执行输入:数据库 操作！
2020-08-04 16:51:29,211 INFO [base.py(base_click:55)] - 正在对：('css selector', '[placeholder=请选择状态]') 元素执行点击操作！
2020-08-04 16:51:29,212 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '[placeholder=请选择状态]')
2020-08-04 16:51:31,343 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='待审核']") 元素执行点击操作！
2020-08-04 16:51:31,343 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='待审核']")
2020-08-04 16:51:33,468 INFO [base.py(base_click:55)] - 正在对：('css selector', '.find') 元素执行点击操作！
2020-08-04 16:51:33,468 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.find')
2020-08-04 16:51:35,559 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 16:51:35,628 INFO [base.py(base_get_text:65)] - 正在对：('css selector', '.cell>span') 元素获取文本操作！，获取的文本值：1289879348202962944
2020-08-04 16:51:35,629 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 16:51:35,657 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 16:51:35,680 INFO [base.py(base_get_text:65)] - 正在对：('css selector', '.cell>span') 元素获取文本操作！，获取的文本值：1289879348202962944
2020-08-04 16:51:35,680 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 16:51:37,702 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='通过']/..") 元素执行点击操作！
2020-08-04 16:51:37,702 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='通过']/..")
2020-08-04 16:51:38,823 INFO [base.py(base_click:55)] - 正在对：('css selector', '.el-button--primary') 元素执行点击操作！
2020-08-04 16:51:38,824 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.el-button--primary')
2020-08-04 17:32:28,807 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="aae19143503ce234fd2f4a32bda772e5")>
2020-08-04 17:32:28,807 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入手机号']")
2020-08-04 17:32:28,845 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入手机号']") 元素执行清空操作！
2020-08-04 17:32:28,910 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入手机号']") 元素执行输入:13812345678 操作！
2020-08-04 17:32:30,110 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='验证码']")
2020-08-04 17:32:30,157 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='验证码']") 元素执行清空操作！
2020-08-04 17:32:30,209 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='验证码']") 元素执行输入:246810 操作！
2020-08-04 17:32:31,310 INFO [base.py(base_click:55)] - 正在对：('css selector', '.el-button--primary') 元素执行点击操作！
2020-08-04 17:32:31,310 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.el-button--primary')
2020-08-04 17:32:33,374 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="aae19143503ce234fd2f4a32bda772e5")>
2020-08-04 17:33:34,518 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="090491793b7113694ccf71d23080324a")>
2020-08-04 17:33:34,519 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入手机号']")
2020-08-04 17:33:34,543 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入手机号']") 元素执行清空操作！
2020-08-04 17:33:34,593 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入手机号']") 元素执行输入:13812345678 操作！
2020-08-04 17:33:35,739 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='验证码']")
2020-08-04 17:33:35,770 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='验证码']") 元素执行清空操作！
2020-08-04 17:33:35,817 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='验证码']") 元素执行输入:246810 操作！
2020-08-04 17:33:36,916 INFO [base.py(base_click:55)] - 正在对：('css selector', '.el-button--primary') 元素执行点击操作！
2020-08-04 17:33:36,916 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.el-button--primary')
2020-08-04 17:33:39,006 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="090491793b7113694ccf71d23080324a")>
2020-08-04 17:34:30,744 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="cb7bed325574a64ca097b5efe6c69cce")>
2020-08-04 17:34:30,744 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入手机号']")
2020-08-04 17:34:30,772 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入手机号']") 元素执行清空操作！
2020-08-04 17:34:30,825 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入手机号']") 元素执行输入:13812345678 操作！
2020-08-04 17:34:32,020 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='验证码']")
2020-08-04 17:34:32,052 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='验证码']") 元素执行清空操作！
2020-08-04 17:34:32,119 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='验证码']") 元素执行输入:246810 操作！
2020-08-04 17:34:33,222 INFO [base.py(base_click:55)] - 正在对：('css selector', '.el-button--primary') 元素执行点击操作！
2020-08-04 17:34:33,222 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.el-button--primary')
2020-08-04 17:34:35,332 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="cb7bed325574a64ca097b5efe6c69cce")>
2020-08-04 21:21:50,211 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="d88b4a8053a8372f3a0ed50b65de5e12")>
2020-08-04 21:21:50,211 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入手机号']")
2020-08-04 21:21:50,232 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入手机号']") 元素执行清空操作！
2020-08-04 21:21:50,342 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入手机号']") 元素执行输入:13812345678 操作！
2020-08-04 21:21:51,492 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='验证码']")
2020-08-04 21:21:51,539 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='验证码']") 元素执行清空操作！
2020-08-04 21:21:51,583 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='验证码']") 元素执行输入:246810 操作！
2020-08-04 21:21:52,674 INFO [base.py(base_click:55)] - 正在对：('css selector', '.el-button--primary') 元素执行点击操作！
2020-08-04 21:21:52,674 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.el-button--primary')
2020-08-04 21:21:54,768 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="d88b4a8053a8372f3a0ed50b65de5e12")>
2020-08-04 21:23:04,019 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="d30c3097163f093317fbf292348e642c")>
2020-08-04 21:23:04,022 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入手机号']")
2020-08-04 21:23:04,041 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入手机号']") 元素执行清空操作！
2020-08-04 21:23:04,095 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入手机号']") 元素执行输入:13812345678 操作！
2020-08-04 21:23:05,337 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='验证码']")
2020-08-04 21:23:05,368 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='验证码']") 元素执行清空操作！
2020-08-04 21:23:05,426 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='验证码']") 元素执行输入:246810 操作！
2020-08-04 21:23:06,515 INFO [base.py(base_click:55)] - 正在对：('css selector', '.el-button--primary') 元素执行点击操作！
2020-08-04 21:23:06,515 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.el-button--primary')
2020-08-04 21:23:09,583 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.user-name')
2020-08-04 21:23:09,610 INFO [base.py(base_get_text:65)] - 正在对：('css selector', '.user-name') 元素获取文本操作！，获取的文本值：0804
2020-08-04 21:23:09,610 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.user-name')
2020-08-04 21:24:03,369 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="f3c9bcf779cd00c4a87afd97f6a66a21")>
2020-08-04 21:24:03,370 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入手机号']")
2020-08-04 21:24:03,387 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入手机号']") 元素执行清空操作！
2020-08-04 21:24:03,444 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入手机号']") 元素执行输入:13812345678 操作！
2020-08-04 21:24:04,641 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='验证码']")
2020-08-04 21:24:04,672 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='验证码']") 元素执行清空操作！
2020-08-04 21:24:04,719 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='验证码']") 元素执行输入:246810 操作！
2020-08-04 21:24:05,806 INFO [base.py(base_click:55)] - 正在对：('css selector', '.el-button--primary') 元素执行点击操作！
2020-08-04 21:24:05,806 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.el-button--primary')
2020-08-04 21:24:07,921 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="f3c9bcf779cd00c4a87afd97f6a66a21")>
2020-08-04 21:24:07,924 INFO [base.py(base_click:55)] - 正在对：('xpath', "//span[text()='内容管理']/..") 元素执行点击操作！
2020-08-04 21:24:07,924 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//span[text()='内容管理']/..")
2020-08-04 21:24:10,023 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[contains(text(),'发布文章')]") 元素执行点击操作！
2020-08-04 21:24:10,023 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[contains(text(),'发布文章')]")
2020-08-04 21:24:12,123 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='文章名称']")
2020-08-04 21:24:12,138 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='文章名称']") 元素执行清空操作！
2020-08-04 21:24:12,185 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='文章名称']") 元素执行输入:test003 操作！
2020-08-04 21:24:14,355 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '#publishTinymce_ifr')
2020-08-04 21:24:16,425 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '#tinymce')
2020-08-04 21:24:16,425 INFO [base.py(base_input:42)] - 正在对：('css selector', '#tinymce') 元素执行清空操作！
2020-08-04 21:24:16,456 INFO [base.py(base_input:45)] - 正在对：('css selector', '#tinymce') 元素执行输入:今天吃火锅 操作！
2020-08-04 21:24:20,610 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='自动']") 元素执行点击操作！
2020-08-04 21:24:20,610 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='自动']")
2020-08-04 21:24:22,724 INFO [base.py(base_click:55)] - 正在对：('css selector', '[placeholder=请选择]') 元素执行点击操作！
2020-08-04 21:24:22,724 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '[placeholder=请选择]')
2020-08-04 21:24:24,891 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='数据库']") 元素执行点击操作！
2020-08-04 21:24:24,891 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='数据库']")
2020-08-04 21:24:27,011 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='发表']/..") 元素执行点击操作！
2020-08-04 21:24:27,011 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='发表']/..")
2020-08-04 21:24:27,108 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[contains(text(),'新增文章成功')]")
2020-08-04 21:24:27,702 INFO [base.py(base_get_text:65)] - 正在对：('xpath', "//*[contains(text(),'新增文章成功')]") 元素获取文本操作！，获取的文本值：新增文章成功
2020-08-04 21:24:27,702 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[contains(text(),'新增文章成功')]")
2020-08-04 21:24:27,756 INFO [base.py(base_click:55)] - 正在对：('xpath', "//span[text()='内容管理']/..") 元素执行点击操作！
2020-08-04 21:24:27,756 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//span[text()='内容管理']/..")
2020-08-04 21:24:30,118 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[contains(text(),'发布文章')]") 元素执行点击操作！
2020-08-04 21:24:30,118 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[contains(text(),'发布文章')]")
2020-08-04 21:25:34,347 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="71b486d7947dfc5b5a2ee2abb9f052d1")>
2020-08-04 21:25:34,347 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入手机号']")
2020-08-04 21:25:34,379 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入手机号']") 元素执行清空操作！
2020-08-04 21:25:34,433 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入手机号']") 元素执行输入:13812345678 操作！
2020-08-04 21:25:35,583 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='验证码']")
2020-08-04 21:25:35,599 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='验证码']") 元素执行清空操作！
2020-08-04 21:25:35,645 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='验证码']") 元素执行输入:246810 操作！
2020-08-04 21:25:36,744 INFO [base.py(base_click:55)] - 正在对：('css selector', '.el-button--primary') 元素执行点击操作！
2020-08-04 21:25:36,744 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.el-button--primary')
2020-08-04 21:25:38,839 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="71b486d7947dfc5b5a2ee2abb9f052d1")>
2020-08-04 21:25:38,843 INFO [base.py(base_click:55)] - 正在对：('xpath', "//span[text()='内容管理']/..") 元素执行点击操作！
2020-08-04 21:25:38,843 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//span[text()='内容管理']/..")
2020-08-04 21:25:40,915 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[contains(text(),'发布文章')]") 元素执行点击操作！
2020-08-04 21:25:40,916 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[contains(text(),'发布文章')]")
2020-08-04 21:25:43,081 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='文章名称']")
2020-08-04 21:25:43,096 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='文章名称']") 元素执行清空操作！
2020-08-04 21:25:43,143 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='文章名称']") 元素执行输入:test003 操作！
2020-08-04 21:25:45,315 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '#publishTinymce_ifr')
2020-08-04 21:25:47,478 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '#tinymce')
2020-08-04 21:25:47,478 INFO [base.py(base_input:42)] - 正在对：('css selector', '#tinymce') 元素执行清空操作！
2020-08-04 21:25:47,509 INFO [base.py(base_input:45)] - 正在对：('css selector', '#tinymce') 元素执行输入:今天吃火锅 操作！
2020-08-04 21:25:51,670 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='自动']") 元素执行点击操作！
2020-08-04 21:25:51,670 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='自动']")
2020-08-04 21:25:53,781 INFO [base.py(base_click:55)] - 正在对：('css selector', '[placeholder=请选择]') 元素执行点击操作！
2020-08-04 21:25:53,781 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '[placeholder=请选择]')
2020-08-04 21:25:55,944 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='数据库']") 元素执行点击操作！
2020-08-04 21:25:55,944 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='数据库']")
2020-08-04 21:25:58,047 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='发表']/..") 元素执行点击操作！
2020-08-04 21:25:58,047 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='发表']/..")
2020-08-04 21:25:58,166 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[contains(text(),'新增文章成功')]")
2020-08-04 21:25:58,711 INFO [base.py(base_get_text:65)] - 正在对：('xpath', "//*[contains(text(),'新增文章成功')]") 元素获取文本操作！，获取的文本值：新增文章成功
2020-08-04 21:25:58,711 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[contains(text(),'新增文章成功')]")
2020-08-04 21:27:10,047 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="ffd82f75e7185fede56b104d888ded5e")>
2020-08-04 21:27:10,047 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[name='username']")
2020-08-04 21:27:10,122 INFO [base.py(base_input:42)] - 正在对：('css selector', "[name='username']") 元素执行清空操作！
2020-08-04 21:27:10,162 INFO [base.py(base_input:45)] - 正在对：('css selector', "[name='username']") 元素执行输入:testid 操作！
2020-08-04 21:27:12,246 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[name='password']")
2020-08-04 21:27:12,277 INFO [base.py(base_input:42)] - 正在对：('css selector', "[name='password']") 元素执行清空操作！
2020-08-04 21:27:12,324 INFO [base.py(base_input:45)] - 正在对：('css selector', "[name='password']") 元素执行输入:testpwd123 操作！
2020-08-04 21:27:14,425 INFO [base.py(base_click:55)] - 正在对：('css selector', '#inp1') 元素执行点击操作！
